Date,Close,10ma_IN,20ma_IN,+2sigma_IN,-2sigma_IN,%DR,DR_ma,High_IN,Low_IN,Vol_IN,Vol_MA_IN,Target,Entry,Stop_Loss,MA_Exit_Date,MA_on_Exit,20ma_OUT,+2sigma_OUT,-2sigma_OUT,Duration,Close_OUT,High_OUT,Low_OUT,Vol_OUT,GL_on_MA,GL_MA_Money,GL_MA_%,SS_IN,HLS_IN,GL_Success,Above_Vol_Ma,10_above_20,Close_above_2s,DR_above_DRma,DR_ma_up
2016-03-16,52.65,52.602,52.087,54.134,50.04,1.094,0.276,53.04,51.8,1430200,3227680.0,55.283,52.65,50.018,2016-03-17,52.832,52.095,54.144,50.045,1 days 00:00:00.000000000,52.3,52.88,51.91,1653800,0.182,18.2,0.346,4.095,1.24,1,0,1,0,1,1
2016-03-18,53.48,53.016,52.196,54.311,50.08,2.256,0.36,53.6,52.43,2439900,2847240.0,56.154,53.48,50.806,2016-03-23,53.158,52.469,54.709,50.228,5 days 00:00:00.000000000,52.66,54.55,52.22,3651800,-0.322,-32.2,-0.602,4.232,1.17,0,0,1,0,1,1
2016-03-30,52.72,52.702,52.585,54.691,50.478,0.457,0.14,53.0,52.52,1166200,2853880.0,55.356,52.72,50.084,2016-04-27,57.945,56.465,59.974,52.956,28 days 00:00:00.000000000,57.81,58.57,57.36,1387900,5.225,522.5,9.911,4.212,0.48,1,0,1,0,1,1
2016-05-20,54.56,54.245,55.474,58.887,52.06,1.753,0.185,54.89,53.39,3171400,2211340.0,57.288,54.56,51.832,2016-06-06,55.201,54.723,56.268,53.178,17 days 00:00:00.000000000,55.2,55.54,54.91,1889000,0.641,64.1,1.175,6.827,1.5,1,1,0,0,1,1
2016-06-07,56.97,55.484,54.8,56.622,52.978,3.207,0.517,57.13,55.23,2909300,1871310.0,59.819,56.97,54.122,2016-06-10,55.917,55.081,57.34,52.822,3 days 00:00:00.000000000,55.61,56.96,55.4,1655100,-1.053,-105.3,-1.848,3.645,1.9,0,1,1,1,1,1
2016-06-22,55.28,55.035,55.362,57.177,53.547,0.858,-0.315,55.55,54.52,2421200,1946875.0,58.044,55.28,52.516,2016-06-27,54.779,55.37,57.453,53.287,5 days 00:00:00.000000000,53.71,54.8,53.33,1705000,-0.501,-50.1,-0.906,3.63,1.03,0,1,0,0,1,0
2016-06-28,55.08,54.737,55.344,57.427,53.26,2.551,-0.056,55.2,53.79,1444800,2146725.0,57.834,55.08,52.326,2016-08-02,62.105,61.209,63.27,59.147,35 days 00:00:00.000000000,61.95,62.47,61.37,3354300,7.025,702.5,12.754,4.168,1.41,1,0,0,0,1,0
2016-08-03,66.3,62.531,61.584,64.391,58.777,7.022,0.688,66.74,62.65,7635900,2095400.0,69.615,66.3,62.985,2016-08-16,66.675,64.39,69.119,59.661,13 days 00:00:00.000000000,65.98,66.68,65.69,1489400,0.375,37.5,0.566,5.614,4.09,1,1,1,1,1,1
2016-08-29,65.0,64.903,65.588,68.232,62.943,0.557,-0.243,65.24,64.03,1503900,2167270.0,68.25,65.0,61.75,2016-08-30,64.78,65.728,67.795,63.66,1 days 00:00:00.000000000,64.75,65.17,64.47,1311700,-0.22,-22.0,-0.338,5.289,1.21,0,0,0,0,1,0
2016-09-01,65.01,64.684,65.575,67.683,63.467,0.728,-0.021,65.14,64.05,1360100,1685130.0,68.261,65.01,61.76,2016-09-08,64.728,65.116,66.699,63.533,7 days 00:00:00.000000000,64.14,64.69,63.7,1980700,-0.282,-28.2,-0.434,4.215,1.09,0,0,0,0,1,0
2016-09-22,62.98,62.289,63.508,66.119,60.898,0.978,-0.174,63.08,62.58,1327600,1665170.0,66.129,62.98,59.831,2016-09-26,62.255,63.287,65.892,60.683,4 days 00:00:00.000000000,61.94,62.5,61.74,1381500,-0.725,-72.5,-1.151,5.221,0.5,0,0,0,0,1,0
2016-09-28,62.45,62.302,63.03,65.45,60.61,0.483,0.045,62.53,61.86,1080500,1661925.0,65.573,62.45,59.328,2016-09-29,62.178,62.879,65.278,60.481,1 days 00:00:00.000000000,61.53,62.43,61.43,895700,-0.272,-27.2,-0.436,4.84,0.67,0,0,0,0,1,1
2016-10-10,61.79,61.525,61.89,63.105,60.675,1.08,-0.021,61.91,61.42,1070100,1544870.0,64.88,61.79,58.701,2016-10-11,61.383,61.829,63.15,60.509,1 days 00:00:00.000000000,60.73,62.53,60.26,1559500,-0.407,-40.7,-0.659,2.43,0.49,0,0,0,0,1,0
2016-10-13,61.26,61.213,61.695,62.984,60.407,0.393,-0.041,61.39,60.22,1882700,1519930.0,64.323,61.26,58.197,2016-10-14,61.133,61.642,62.962,60.322,1 days 00:00:00.000000000,60.95,61.82,60.76,1176600,-0.127,-12.7,-0.207,2.577,1.17,0,1,0,0,1,0
2016-10-18,61.15,61.097,61.562,62.923,60.2,0.526,0.041,61.75,61.14,845500,1354395.0,64.208,61.15,58.093,2016-10-19,61.039,61.477,62.838,60.115,1 days 00:00:00.000000000,60.67,61.15,60.16,629200,-0.111,-11.1,-0.182,2.723,0.61,0,0,0,0,1,1
2016-11-21,50.51,49.782,52.899,60.604,45.193,1.979,-0.399,50.64,49.5,3294200,4839815.0,53.035,50.51,47.984,2016-11-29,49.946,50.89,55.096,46.683,8 days 00:00:00.000000000,49.77,51.11,49.53,5047200,-0.564,-56.4,-1.117,15.411,1.14,0,0,0,0,1,0
2016-12-12,48.89,48.465,49.151,51.204,47.098,1.012,-0.385,48.92,48.11,2385400,3856770.0,51.334,48.89,46.445,2016-12-13,48.309,49.127,51.214,47.041,1 days 00:00:00.000000000,48.21,48.63,47.01,4338700,-0.581,-58.1,-1.188,4.107,0.81,0,0,0,0,1,0
2016-12-15,49.15,48.249,49.079,51.223,46.935,2.375,0.248,50.29,48.8,4579500,3773345.0,51.608,49.15,46.693,2016-12-22,48.512,48.692,50.512,46.872,7 days 00:00:00.000000000,47.81,48.51,47.59,1899300,-0.638,-63.8,-1.298,4.288,1.49,0,1,0,0,1,1
